id,danceability,energy,valence,mood
0DsMyxW59yojgt0au0wWic,0.35,0.986,0.151,angry
6afOkCSh3EZfU9OluCgo34,0.387,0.95,0.333,angry
3uOxi3XD2dfSlUy3q1r73V,0.594,0.186,0.393,relaxed
0XFPXDISKbec6Ff4MdJHjX,0.292,0.156,0.133,relaxed
7alv4njKakY9fLlXHfcHvq,0.403,0.358,0.156,relaxed
5jzma6gCzYtKB1DbEwFZKH,0.651,0.801,0.776,angry
3FXkhPqETD7nkZsr1Vr7qX,0.415,0.956,0.183,angry
2Phq7kFebjWp2Gi5ungSWF,0.527,0.224,0.178,sad
7d4jwhRzkXPjrWtWGwBhxZ,0.526,0.916,0.438,sad
7tupXPhl9H8b13s1T5drCZ,0.403,0.516,0.114,sad
0M3dtTyluL25kckJeceiaX,0.299,0.982,0.43,angry
4UW5yJcnRrOtHdKOnBds7M,0.568,0.253,0.597,relaxed
6TaHShmHB955lxcJ92V0gs,0.516,0.646,0.679,happy
31A3oqQxDLdG9HRx45z62d,0.602,0.684,0.961,happy
5Q1WrsTDRJQXKlqLUo8YkG,0.556,0.762,0.332,relaxed
4HvIrl8JDx3ZocnGHFuQHe,0.712,0.432,0.359,relaxed
2zYzyRzz6pRmhPzyfMEC8s,0.574,0.913,0.423,angry
5OBriDrN0dLdVcPyuGS5m8,0.583,0.486,0.812,relaxed
4tAoetjTDGUJDoT4mNqUsT,0.685,0.939,0.621,happy
1bjCNsvQlN6a9lGmrSIlyq,0.402,0.314,0.0384,relaxed
5lJUXSjRjevVy7I3P87wuK,0.532,0.768,0.698,happy
3tF8QmI7HtceDBUdOuZHr6,0.472,0.79,0.531,sad
0LAfANg75hYiV1IAEP3vY6,0.757,0.957,0.933,happy
7BmZWYaI3Za0Y6BmNQ1qvX,0.222,0.931,0.0696,angry
6wnmRxEbwUK7WLyUtiRuT7,0.432,0.391,0.744,sad
7t5xZo0fUxFAU8B8LMo49R,0.662,0.61,0.587,relaxed
2dAIPA1IY8qI7VPj7OtjFK,0.483,0.725,0.551,relaxed
63DqeZNxhB6SaQq3ZtNoms,0.199,0.729,0.127,sad
544KWiVxKdGSG4LJ1Ph651,0.426,0.828,0.671,happy
76kNJ93ikzep2pBF2k555o,0.469,0.718,0.141,sad
2dhjLRNYu5pZV8NdfbkaHv,0.419,0.507,0.237,sad
4OtyLBftMzt6gneBgc1nvH,0.629,0.765,0.598,happy
3usYwtFGmBxjLOtUGbGUEh,0.418,0.85,0.524,relaxed
5FwWIMBccXtvV55Bsb0DcK,0.31,0.325,0.042,sad
1fOrdq5lDitklPno27DeHV,0.607,0.723,0.298,relaxed
7FxmsmphMyy09gdqGHeqFC,0.664,0.447,0.539,happy
2Y4zwRLRmBSrQd8vrfBIyK,0.722,0.602,0.574,relaxed
6wk4WJZsaiWiI15EhIwqrc,0.529,0.964,0.236,happy
4SYMibQ93bfzOk6uzkF0dO,0.745,0.771,0.752,happy
0yTUIzq63trQ6CxyOFMUMt,0.542,0.935,0.232,happy
3dYmruq1HiKJeOQ8h1OEfz,0.745,0.755,0.847,happy
0HgYF795g0WDD2xKq4RFM2,0.361,0.444,0.6,sad
1fplcK4BIi4k5hzp2DJ0kt,0.282,0.987,0.377,angry
6lFwruLUUriGXPuZc6FiN5,0.342,0.215,0.19,relaxed
4MiEDzwUdtC7yXLLxPgEdf,0.636,0.309,0.117,sad
7IE865TiMLStYYcqgFem18,0.517,0.522,0.422,sad
4X8eI0IxdwyixaeOPOeeGh,0.207,0.344,0.0659,relaxed
6q3URBXG6Tr9pMU0bOlvrc,0.331,0.775,0.661,angry
0tvepqOHxqKt2PYRcLTHRR,0.409,0.487,0.612,sad
3OOORI7nnPIuHNMwwu6Uhy,0.795,0.733,0.737,happy
1Mt6BsusgJJln2FMyGFLg1,0.48,0.859,0.311,angry
1PgEPyP9rhQNloWUQC0dRc,0.61,0.545,0.369,relaxed
4MLYH01rrqDifXe06KAkfz,0.655,0.842,0.727,sad
5G9KcZaxfCysfv4EryCB9b,0.595,0.928,0.982,happy
5w4s2ccJcpiNlajHVGtHDg,0.466,0.965,0.574,happy
4UtqFgWCzESmaNfBd48TCn,0.627,0.781,0.51,angry
2N89t3IAX0QQQMNREk3dIY,0.331,0.936,0.247,angry
1J0mCmH4RF4dVcvkLV8h37,0.172,0.21,0.0395,relaxed
2iEiNnKtDbbRLDGMmtft19,0.476,0.987,0.622,angry
35rbWJFPSnfTEDXvopaqxZ,0.501,0.803,0.39,happy
4gYrJ3JZsvaixzrpT4l6Qw,0.41,0.999,0.146,angry
16vhPYIryOQmSo13TR0qVi,0.589,0.596,0.457,relaxed
3HYyNVflGBMcMo7HC1GzwJ,0.663,0.898,0.688,happy
0Ts8bcZmPXIcdZfpbLBge8,0.561,0.264,0.218,relaxed
4hwYV0Yc7nRfXwd8HPiMgY,0.62,0.163,0.124,relaxed
6uGQKWdjmKvgH1QdDCcM8N,0.767,0.599,0.788,happy
6o8bpkuFMRS2b25Vui9aDC,0.436,0.881,0.262,sad
0QtGPaQfablJpxe0g2i59Y,0.153,0.115,0.0472,relaxed
3K7Q9PHUWPTaknlbFPThn2,0.885,0.664,0.906,happy
4qVZBA7jWL23SEWOfKFjiw,0.411,0.954,0.54,angry
08GOw3NsrJ0LsCCeyqzt3b,0.283,0.417,0.373,happy
2jzxiC3UWXAZpA91xcSjn0,0.513,0.715,0.339,sad
