id,energy,valence,danceability
4QlzkaRHtU8gAdwqjWmO8n,0.763,0.514,0.526
4ogyT8HqLV6IdCepscSkh3,0.8759999999999999,0.131,0.467
4nTeeVQnNghbWWo6k7oPrH,0.0246,0.174,0.352
55ux9bDGw3qTVfad3PxSTq,0.00811,0.0703,0.312
229MM2St7SnW43nT8ADlG8,0.957,0.52,0.534
4e7yuouxvWPbK1q2kVlgz8,0.942,0.726,0.478
7gb626DDDHoiuVAGZEnlJk,0.6,0.818,0.481
2Foc5Q5nqNiosCNqttzHof,0.8109999999999999,0.862,0.794
0nyrltZrQGAJMBZc1bYvuQ,0.664,0.8,0.883
3YQopTaSSgLSSuzYBZ9bLf,0.97,0.349,0.544
6mnYXjuK0CDzqem4eR5JGU,0.352,0.45,0.664
2No1A7ZuMaBGxz45jmA9Gw,0.16,0.0409,0.0789
45DElIx0dXqUH4A88yQFdE,0.992,0.374,0.242
08Hghm2hJpCxJux9YuhCG0,0.895,0.0353,0.547
0G3fbPbE1vGeABDEZF0jeG,0.657,0.893,0.87
2oF7FZHIJbzjeEXZ3D0Ku4,0.495,0.38,0.403
4VxaUj96W2jw9UOtKHu51p,0.457,0.187,0.484
5rLZGAZOstOC3fqhmGChvK,0.262,0.107,0.284
7ANhXB1OJBaTb7kDoAJRLq,0.00792,0.0621,0.5660000000000001
2bo6ZMPnFkWCd0VRTMwbcs,0.00656,0.0809,0.365
1TSpCeUusXyZ7FiaDuy3x1,0.0544,0.158,0.353
4kjbflfFCcNWkBGWvYBSxz,0.191,0.411,0.373
2UVLuddklEVak5PXgC7baA,0.8809999999999999,0.924,0.6940000000000001
3ktUAf5M4HiCt6n7Zb323H,0.7440000000000001,0.6940000000000001,0.845
7lUjs7bf1fjKI8HKhbNp6z,0.907,0.346,0.382
3EKKIR8be1kfAAwaz1fzyS,0.888,0.0715,0.59
3ekjqtjoDwy5YLuGtKoXDO,0.947,0.419,0.508
1qv9TWDpXh50DPLgWD4bnH,0.8079999999999999,0.726,0.635
1JO1xLtVc8mWhIoE3YaCL0,0.3670000000000001,0.588,0.584
2KK7OUblFkd7TT9TjWgW7z,0.251,0.18,0.276
2mPMFJvQ0v27gVqe5b6nDn,0.882,0.623,0.578
4QAUGy6k7c3IOAhgWz52r7,0.934,0.204,0.5720000000000001
0M6TLjxixptslrmQpWbRoR,0.4320000000000001,0.133,0.539
3vqt0fEt6I52ANHu7mAlIP,0.8540000000000001,0.618,0.535
6dGnYIeXmHdcikdzNNDMm2,0.54,0.394,0.557
2zYzyRzz6pRmhPzyfMEC8s,0.913,0.423,0.574
48H6uWuBYeeZUiXwb5f69K,0.935,0.455,0.421
3MOdqpj30w4Wk96bBwLJk9,0.92,0.182,0.502
7Ga9ZSdPAcQXQvd1ObVFpm,0.7340000000000001,0.401,0.5870000000000001
3Qsp2uAtcDCrrlknJtUPj8,0.932,0.337,0.544
5gNVTfD1L6QrPgOf0wFo0q,0.946,0.534,0.383
1dssHOp3HpaK9o5c0CL7xU,0.989,0.119,0.341
6RT3PxDEQOa7m6tK502DNa,0.675,0.8540000000000001,0.784
6ruBSXfnFc6raFDFm9YB3r,0.249,0.284,0.404
1V17xHHZgIgZ6H14rinHdi,0.882,0.347,0.6
1IB1GFSTgmeecjscmAJ0lW,0.835,0.371,0.584
2NRZo1Y3T6UaVCz1i8dMqm,0.454,0.388,0.439
2jpL7mFOMzRnbaSj790BfQ,0.253,0.0529,0.545
1OdYu7mDO94ydUvfZPaPvP,0.4,0.318,0.7140000000000001
2rx8InAMTVDeZdkLUWHDmA,0.52,0.654,0.389
33gVbwdqw7aRX0Y2zM7qm3,0.305,0.0389,0.52
6pGJTJaExyKwwXBmcoyVlY,0.921,0.351,0.211
1PiKcVhlmHPvL7IPjx9dJk,0.319,0.378,0.636
2ZSCy3P1QzpJySCWA6NRIU,0.852,0.867,0.768
6fBwVe6udYdnRqwqo06if8,0.75,0.639,0.731
07htwTiSZVnQfdl38siCIn,0.417,0.0708,0.67
7lRlq939cDG4SzWOF4VAnd,0.94,0.255,0.21
5FRWe0PkPj4CQ4fvibzTEh,0.356,0.0965,0.429
0KyPBZ6PAxzpcAobqxhaHu,0.569,0.265,0.5479999999999999
2jxfHzOYVLmGKejNRHvqoc,0.948,0.193,0.5760000000000001
0QurRfrHz1RGbdPpTx7lLV,0.202,0.142,0.575
3iiL6merNpFNX1bny9sfvM,0.34,0.449,0.4320000000000001
4sqIHHGPprOZNdW5zMx36p,0.00579,0.1369999999999999,0.387
7FORBAxm1qwuwbYo7Rtz42,0.221,0.089,0.479
2qoKkOBw3dAd8AlITOQ2Ca,0.504,0.67,0.503
5AciiCKJKTLKRrAPSrKQy5,0.214,0.0903,0.529
6mgKP4yo57GTSMc3fJlyWm,0.122,0.112,0.283
6okaxit4V1bU6yIVVsP836,0.884,0.82,0.435
1xHcapGIorRGVlBnWE7X4N,0.962,0.66,0.463
3GuzB4BEWq3bhZM8YydysZ,0.0028,0.151,0.266
1HTYYXCKpMWiHRd7qIb6ui,0.0987,0.0558,0.31
